F,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Receiving,Receiving.1,Receiving.2,Receiving.3,Rushing,Rushing.1,Rushing.2,Rushing.3,Scrimmage,Scrimmage.1,Scrimmage.2,Scrimmage.3
4590,1,*2004,California,Pac-10,FR,RB,11,,,,,11,49,4.5,1,11,49,4.5,1
4591,2,*2005,California,Pac-10,SO,RB,12,7,68,9.7,0,132,999,7.6,6,139,1067,7.7,6
4592,3,*2006,California,Pac-10,JR,RB,13,12,116,9.7,1,119,626,5.3,4,131,742,5.7,5
4593,4,*2007,California,Pac-10,SR,RB,13,22,202,9.2,0,305,1546,5.1,15,327,1748,5.3,15
4594,5,Career,California,,,,,41,386,9.4,1,567,3220,5.7,26,608,3606,5.9,27
4595,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
4596,1,2004,Tulane,CUSA,FR,RB,11,20,180,9.0,2,140,624,4.5,4,160,804,5.0,6
4597,2,2005,Tulane,CUSA,SO,RB,11,23,163,7.1,1,169,655,3.9,4,192,818,4.3,5
4598,3,2006,Tulane,CUSA,JR,RB,9,28,360,12.9,2,163,859,5.3,8,191,1219,6.4,10
4599,4,2007,Tulane,CUSA,SR,RB,12,32,282,8.8,0,361,2127,5.9,23,393,2409,6.1,23
4600,5,Career,Tulane,,,,,103,985,9.6,5,833,4265,5.1,39,936,5250,5.6,44
4601,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
4602,1,2004,Missouri,Big 12,FR,WR,7,6,174,29.0,1,1,-6,-6.0,0,7,168,24.0,1
4603,2,*2005,Missouri,Big 12,SO,WR,12,40,413,10.3,2,8,17,2.1,0,48,430,9.0,2
4604,3,*2006,Missouri,Big 12,JR,WR,11,48,829,17.3,6,,,,,48,829,17.3,6
4605,4,*2007,Missouri,Big 12,SR,WR,14,49,709,14.5,4,,,,,49,709,14.5,4
4606,5,Career,Missouri,,,,,143,2125,14.9,13,9,11,1.2,0,152,2136,14.1,13
4607,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
4608,1,2005,Indiana,Big Ten,SO,WR,10,61,893,14.6,10,,,,,61,893,14.6,10
4609,2,2006,Indiana,Big Ten,SO,WR,10,51,722,14.2,10,,,,,51,722,14.2,10
4610,3,*2007,Indiana,Big Ten,JR,WR,13,79,1125,14.2,16,,,,,79,1125,14.2,16
4611,4,Career,Indiana,,,,,191,2740,14.3,36,,,,,191,2740,14.3,36
4612,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
4613,1,*2004,Virginia Tech,ACC,FR,WR,11,5,84,16.8,1,,,,,5,84,16.8,1
4614,2,*2005,Virginia Tech,ACC,SO,WR,13,16,295,18.4,1,1,10,10.0,0,17,305,17.9,1
4615,3,*2006,Virginia Tech,ACC,JR,WR,12,21,324,15.4,1,,,,,21,324,15.4,1
4616,4,*2007,Virginia Tech,ACC,SR,WR,14,41,635,15.5,5,,,,,41,635,15.5,5
4617,5,Career,Virginia Tech,,,,,83,1338,16.1,8,1,10,10.0,0,84,1348,16.0,8
4618,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
4619,1,*2004,Michigan,Big Ten,FR,RB,12,26,237,9.1,1,282,1455,5.2,9,308,1692,5.5,10
4620,2,*2005,Michigan,Big Ten,SO,RB,8,16,154,9.6,1,150,662,4.4,4,166,816,4.9,5
4621,3,*2006,Michigan,Big Ten,JR,RB,13,17,125,7.4,0,318,1562,4.9,14,335,1687,5.0,14
4622,4,*2007,Michigan,Big Ten,SR,RB,10,8,50,6.3,0,265,1361,5.1,14,273,1411,5.2,14
4623,5,Career,Michigan,,,,,67,566,8.4,2,1015,5040,5.0,41,1082,5606,5.2,43
4624,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
4625,1,*2005,California,Pac-10,SO,WR,9,18,171,9.5,1,3,31,10.3,0,21,202,9.6,1
4626,2,*2006,California,Pac-10,JR,WR,13,46,705,15.3,5,3,36,12.0,0,49,741,15.1,5
4627,3,*2007,California,Pac-10,SR,WR,13,72,872,12.1,6,7,60,8.6,0,79,932,11.8,6
4628,4,Career,California,,,,,136,1748,12.9,12,13,127,9.8,0,149,1875,12.6,12
4629,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
4630,1,*2004,Michigan,Big Ten,FR,QB,12,,,,,55,-137,-2.5,2,55,-137,-2.5,2
4631,2,*2005,Michigan,Big Ten,SO,QB,12,,,,,54,25,0.5,1,54,25,0.5,1
4632,3,*2006,Michigan,Big Ten,JR,QB,13,,,,,47,-83,-1.8,0,47,-83,-1.8,0
4633,4,*2007,Michigan,Big Ten,SR,QB,10,,,,,24,-120,-5.0,0,24,-120,-5.0,0
4634,5,Career,Michigan,,,,,,,,,180,-315,-1.8,3,180,-315,-1.8,3
4635,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
4636,1,2004,Kansas,Big 12,FR,WR,10,8,85,10.6,0,,,,,8,85,10.6,0
4637,2,*2005,Kansas,Big 12,SO,WR,11,17,183,10.8,0,,,,,17,183,10.8,0
4638,3,2006,Kansas,Big 12,JR,WR,11,25,316,12.6,3,,,,,25,316,12.6,3
4639,4,*2007,Kansas,Big 12,SR,WR,13,54,1014,18.8,10,1,23,23.0,0,55,1037,18.9,10
4640,5,Career,Kansas,,,,,104,1598,15.4,13,1,23,23.0,0,105,1621,15.4,13
4641,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
4642,1,*2004,LSU,SEC,FR,RB,11,2,21,10.5,0,20,123,6.2,0,22,144,6.5,0
4643,2,*2005,LSU,SEC,SO,RB,13,11,63,5.7,0,25,114,4.6,2,36,177,4.9,2
4644,3,*2006,LSU,SEC,JR,RB,13,35,269,7.7,3,94,440,4.7,6,129,709,5.5,9
4645,4,*2007,LSU,SEC,SR,RB,14,14,106,7.6,1,225,1103,4.9,12,239,1209,5.1,13
4646,5,Career,LSU,,,,,62,459,7.4,4,364,1780,4.9,20,426,2239,5.3,24
4647,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
4648,1,2004,Arkansas,SEC,FR,RB,10,12,97,8.1,2,63,240,3.8,6,75,337,4.5,8
4649,2,2005,Arkansas,SEC,SO,RB,11,38,402,10.6,4,65,315,4.8,3,103,717,7.0,7
4650,3,*2006,Arkansas,SEC,JR,RB,10,19,159,8.4,0,13,57,4.4,1,32,216,6.8,1
4651,4,*2007,Arkansas,SEC,SR,RB,13,49,537,11.0,5,62,347,5.6,2,111,884,8.0,7
4652,5,Career,Arkansas,,,,,118,1195,10.1,11,203,959,4.7,12,321,2154,6.7,23
4653,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
4654,1,*2005,Wisconsin,Big Ten,SO,WR,5,1,4,4.0,0,,,,,1,4,4.0,0
4655,2,*2006,Wisconsin,Big Ten,JR,WR,13,38,627,16.5,5,,,,,38,627,16.5,5
4656,3,*2007,Wisconsin,Big Ten,SR,WR,8,14,305,21.8,0,,,,,14,305,21.8,0
4657,4,Career,Wisconsin,,,,,53,936,17.7,5,,,,,53,936,17.7,5
4658,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
4659,1,*2005,California,Pac-10,FR,WR,11,38,601,15.8,7,8,48,6.0,0,46,649,14.1,7
4660,2,*2006,California,Pac-10,SO,WR,13,59,1060,18.0,9,5,19,3.8,0,64,1079,16.9,9
4661,3,*2007,California,Pac-10,JR,WR,12,65,762,11.7,6,11,132,12.0,1,76,894,11.8,7
4662,4,Career,California,,,,,162,2423,15.0,22,24,199,8.3,1,186,2622,14.1,23
4663,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
4664,1,2004,East Carolina,CUSA,FR,RB,11,32,236,7.4,2,134,561,4.2,5,166,797,4.8,7
4665,2,2005,East Carolina,CUSA,SO,RB,11,35,356,10.2,2,176,684,3.9,6,211,1040,4.9,8
4666,3,*2006,East Carolina,CUSA,JR,RB,12,21,176,8.4,0,78,314,4.0,4,99,490,4.9,4
4667,4,*2007,East Carolina,CUSA,SR,RB,13,37,528,14.3,6,236,1423,6.0,17,273,1951,7.1,23
4668,5,Career,East Carolina,,,,,125,1296,10.4,10,624,2982,4.8,32,749,4278,5.7,42
4669,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
4670,1,2005,Arkansas,SEC,FR,RB,11,8,100,12.5,0,99,626,6.3,3,107,726,6.8,3
4671,2,*2006,Arkansas,SEC,SO,RB,14,15,107,7.1,3,154,1168,7.6,6,169,1275,7.5,9
4672,3,*2007,Arkansas,SEC,JR,RB,13,16,176,11.0,0,133,1162,8.7,11,149,1338,9.0,11
4673,4,Career,Arkansas,,,,,39,383,9.8,3,386,2956,7.7,20,425,3339,7.9,23
4674,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
4675,1,*2004,Purdue,Big Ten,FR,TE,9,5,102,20.4,2,,,,,5,102,20.4,2
4676,2,2005,Purdue,Big Ten,SO,TE,10,13,128,9.8,3,,,,,13,128,9.8,3
4677,3,*2006,Purdue,Big Ten,JR,TE,14,56,771,13.8,4,,,,,56,771,13.8,4
4678,4,*2007,Purdue,Big Ten,SR,TE,13,68,881,13.0,7,0,0,,1,68,881,13.0,8
4679,5,Career,Purdue,,,,,142,1882,13.3,16,0,0,,1,142,1882,13.3,17
4680,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
4681,1,*2005,Oklahoma,Big 12,FR,WR,11,33,471,14.3,2,,,,,33,471,14.3,2
4682,2,*2006,Oklahoma,Big 12,SO,WR,14,62,993,16.0,10,,,,,62,993,16.0,10
4683,3,*2007,Oklahoma,Big 12,JR,WR,14,49,821,16.8,9,,,,,49,821,16.8,9
4684,4,Career,Oklahoma,,,,,144,2285,15.9,21,,,,,144,2285,15.9,21
4685,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
4686,1,*2005,Michigan,Big Ten,FR,WR,12,27,433,16.0,6,6,38,6.3,0,33,471,14.3,6
4687,2,*2006,Michigan,Big Ten,SO,WR,10,38,703,18.5,9,6,19,3.2,0,44,722,16.4,9
4688,3,*2007,Michigan,Big Ten,JR,WR,12,72,1174,16.3,12,19,119,6.3,0,91,1293,14.2,12
4689,4,Career,Michigan,,,,,137,2310,16.9,27,31,176,5.7,0,168,2486,14.8,27
4690,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
4691,1,2005,Arkansas,SEC,FR,RB,11,14,52,3.7,0,176,1113,6.3,11,190,1165,6.1,11
4692,2,*2006,Arkansas,SEC,SO,RB,14,11,149,13.5,1,284,1647,5.8,14,295,1796,6.1,15
4693,3,*2007,Arkansas,SEC,JR,RB,13,21,164,7.8,1,325,1830,5.6,16,346,1994,5.8,17
4694,4,Career,Arkansas,,,,,46,365,7.9,2,785,4590,5.8,41,831,4955,6.0,43
4695,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
4696,1,2005,Illinois,Big Ten,FR,RB,10,13,82,6.3,2,48,218,4.5,0,61,300,4.9,2
4697,2,2006,Illinois,Big Ten,SO,RB,12,12,164,13.7,1,78,640,8.2,5,90,804,8.9,6
4698,3,*2007,Illinois,Big Ten,JR,RB,13,34,318,9.4,2,262,1681,6.4,17,296,1999,6.8,19
4699,4,Career,Illinois,,,,,59,564,9.6,5,388,2539,6.5,22,447,3103,6.9,27
4700,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
4701,1,2004,Arkansas,SEC,FR,WR,11,37,569,15.4,6,,,,,37,569,15.4,6
4702,2,2005,Arkansas,SEC,SO,WR,11,35,476,13.6,7,,,,,35,476,13.6,7
4703,3,*2006,Arkansas,SEC,JR,WR,14,50,962,19.2,11,,,,,50,962,19.2,11
4704,4,*2007,Arkansas,SEC,SR,WR,7,16,144,9.0,3,,,,,16,144,9.0,3
4705,5,Career,Arkansas,,,,,138,2151,15.6,27,,,,,138,2151,15.6,27
4706,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
4707,1,2004,Wake Forest,ACC,FR,WR,5,1,6,6.0,0,,,,,1,6,6.0,0
4708,2,2005,Wake Forest,ACC,SO,WR,7,8,127,15.9,1,2,6,3.0,0,10,133,13.3,1
4709,3,*2006,Wake Forest,ACC,JR,RB,14,32,314,9.8,1,105,507,4.8,2,137,821,6.0,3
4710,4,*2007,Wake Forest,ACC,SR,RB,13,98,1011,10.3,5,44,316,7.2,3,142,1327,9.3,8
4711,5,Career,Wake Forest,,,,,139,1458,10.5,7,151,829,5.5,5,290,2287,7.9,12
4712,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
4713,1,*2004,Virginia Tech,ACC,FR,WR,12,15,346,23.1,3,,,,,15,346,23.1,3
4714,2,*2005,Virginia Tech,ACC,SO,WR,13,28,471,16.8,4,1,3,3.0,0,29,474,16.3,4
4715,3,*2006,Virginia Tech,ACC,JR,WR,12,33,448,13.6,4,1,6,6.0,0,34,454,13.4,4
