,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Passing,Passing.1,Passing.2,Passing.3,Passing.4,Passing.5,Passing.6,Passing.7,Passing.8
5,Career,Ohio State,,,,,328,577,56.8,4489,7.8,7.1,28,21,130.9
0,J.P. Losman,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,2000,Tulane,CUSA,FR,QB,10,58,115,50.4,722,6.3,6.2,4,2,111.2
2,2001,Tulane,CUSA,SO,QB,3,31,49,63.3,487,9.9,10.7,4,1,169.6
3,*2002,Tulane,CUSA,JR,QB,13,230,401,57.4,2468,6.2,6.0,19,10,119.7
4,2003,Tulane,CUSA,SR,QB,12,251,422,59.5,3077,7.3,7.4,33,14,139.9
5,Career,Tulane,,,,,570,987,57.8,6754,6.8,6.8,60,27,129.8
0,Eli Manning,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,2000,Ole Miss,SEC,FR,QB,6,16,33,48.5,170,5.2,3.8,0,1,85.7
2,2001,Ole Miss,SEC,SO,QB,11,259,408,63.5,2948,7.2,7.8,31,9,144.8
3,*2002,Ole Miss,SEC,JR,QB,13,279,481,58.0,3401,7.1,6.5,21,15,125.6
4,*2003,Ole Miss,SEC,SR,QB,13,275,441,62.4,3600,8.2,8.5,29,10,148.1
5,Career,Ole Miss,,,,,829,1363,60.8,10119,7.4,7.5,81,35,137.7
0,Matt Mauck,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,2001,LSU,SEC,FR,QB,3,18,41,43.9,224,5.5,3.3,0,2,80.0
2,*2002,LSU,SEC,SO,QB,6,63,130,48.5,782,6.0,6.7,9,2,118.8
3,*2003,LSU,SEC,JR,QB,14,229,358,64.0,2825,7.9,7.7,28,14,148.2
4,Career,LSU,,,,,310,529,58.6,3831,7.2,7.1,37,18,135.7
0,Luke McCown,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,2000,Louisiana Tech,Ind,FR,QB,8,244,369,66.1,2544,6.9,6.2,21,15,134.7
2,2001,Louisiana Tech,WAC,SO,QB,11,277,469,59.1,3337,7.1,7.0,28,14,132.6
3,2002,Louisiana Tech,WAC,JR,QB,12,296,505,58.6,3539,7.0,6.1,19,19,122.4
4,2003,Louisiana Tech,WAC,SR,QB,12,246,432,56.9,3246,7.5,6.9,19,14,128.1
5,Career,Louisiana Tech,,,,,1063,1775,59.9,12666,7.1,6.5,87,62,129.0
0,John Navarre,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,2000,Michigan,Big Ten,FR,QB,9,40,77,51.9,583,7.6,9.1,8,1,147.2
2,2001,Michigan,Big Ten,SO,QB,11,186,346,53.8,2195,6.3,5.8,17,12,116.3
3,*2002,Michigan,Big Ten,JR,QB,13,248,448,55.4,2905,6.5,6.7,21,7,122.2
4,*2003,Michigan,Big Ten,SR,QB,13,270,456,59.2,3331,7.3,7.4,24,10,133.6
5,Career,Michigan,,,,,744,1327,56.1,9014,6.8,6.8,70,30,126.0
0,Bradlee Van Pelt,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,2001,Colorado State,MWC,SO,QB,11,94,194,48.5,1247,6.4,4.9,8,10,105.7
2,*2002,Colorado State,MWC,JR,QB,14,150,287,52.3,2073,7.2,6.8,10,7,119.6
3,*2003,Colorado State,MWC,SR,QB,13,180,297,60.6,2845,9.6,8.9,19,13,153.4
4,Career,Colorado State,,,,,424,778,54.5,6165,7.9,7.1,37,30,129.0
0,Cody Pickett,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,1999,Washington,Pac-10,,QB,1,0,4,0.0,0,0.0,-11.3,0,1,-50.0
2,2000,Washington,Pac-10,FR,QB,2,1,2,50.0,12,6.0,6.0,0,0,100.4
3,2001,Washington,Pac-10,SO,QB,10,169,301,56.1,2403,8.0,6.6,10,14,124.9
4,*2002,Washington,Pac-10,JR,QB,13,365,612,59.6,4458,7.3,7.2,28,14,131.4
5,2003,Washington,Pac-10,SR,QB,12,257,454,56.6,3043,6.7,6.1,15,13,118.1
6,Career,Washington,,,,,792,1373,57.7,9916,7.2,6.6,53,42,125.0
0,Philip Rivers,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,2000,North Carolina State,ACC,FR,QB,11,237,441,53.7,3054,6.9,7.0,25,10,126.1
2,2001,North Carolina State,ACC,SO,QB,11,240,368,65.2,2586,7.0,7.0,16,7,134.8
3,*2002,North Carolina State,ACC,JR,QB,14,262,418,62.7,3353,8.0,7.9,20,10,141.1
4,*2003,North Carolina State,ACC,SR,QB,13,348,483,72.0,4491,9.3,10.1,34,7,170.5
5,Career,North Carolina State,,,,,1087,1710,63.6,13484,7.9,8.1,95,34,144.2
0,Ben Roethlisberger,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,2001,Miami (OH),MAC,FR,QB,12,241,381,63.3,3105,8.1,7.9,25,13,146.5
2,2002,Miami (OH),MAC,SO,QB,12,271,428,63.3,3238,7.6,7.4,22,11,138.7
3,*2003,Miami (OH),MAC,JR,QB,14,342,495,69.1,4486,9.1,9.6,37,10,165.8
4,Career,Miami (OH),,,,,854,1304,65.5,10829,8.3,8.4,84,34,151.3
0,Matt Schaub,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,2000,Virginia,ACC,FR,QB,3,7,8,87.5,50,6.3,0.6,0,1,115.0
2,2001,Virginia,ACC,SO,QB,12,140,240,58.3,1524,6.4,5.7,10,8,118.8
3,*2002,Virginia,ACC,JR,QB,14,288,418,68.9,2976,7.1,7.7,28,7,147.5
4,*2003,Virginia,ACC,SR,QB,11,281,403,69.7,2952,7.3,7.1,18,10,141.0
5,Career,Virginia,,,,,716,1069,67.0,7502,7.0,7.0,56,26,138.4
0,Kyle Boller,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,1999,California,Pac-10,,QB,10,100,259,38.6,1303,5.0,3.1,9,15,80.8
2,2000,California,Pac-10,SO,QB,11,163,349,46.7,2121,6.1,5.3,15,13,104.5
3,2001,California,Pac-10,JR,QB,10,134,272,49.3,1741,6.4,5.6,12,10,110.2
4,2002,California,Pac-10,SR,QB,12,225,421,53.4,2815,6.7,6.9,28,10,126.8
5,Career,California,,,,,622,1301,47.8,7980,6.1,5.5,64,48,108.2
0,Ken Dorsey,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,1999,Miami (FL),Big East,,QB,6,74,120,61.7,807,6.7,7.6,10,2,142.3
2,2000,Miami (FL),Big East,SO,QB,11,188,322,58.4,2737,8.5,9.4,25,5,152.3
3,2001,Miami (FL),Big East,JR,QB,11,184,318,57.9,2652,8.3,8.5,23,9,146.1
4,*2002,Miami (FL),Big East,SR,QB,13,222,393,56.5,3369,8.6,8.6,28,12,145.9
5,Career,Miami (FL),,,,,668,1153,57.9,9565,8.3,8.7,86,28,147.4
0,Rex Grossman,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,2000,Florida,SEC,FR,QB,11,131,212,61.8,1866,8.8,9.3,21,7,161.8
2,2001,Florida,SEC,SO,QB,11,259,395,65.6,3896,9.9,10.2,34,12,170.8
3,*2002,Florida,SEC,JR,QB,13,287,503,57.1,3402,6.8,6.1,22,17,121.5
4,Career,Florida,,,,,677,1110,61.0,9164,8.3,8.2,77,36,146.7
0,Kliff Kingsbury,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,1999,Texas Tech,Big 12,,QB,6,25,57,43.9,492,8.6,9.2,4,1,136.0
2,2000,Texas Tech,Big 12,SO,QB,12,362,585,61.9,3418,5.8,5.3,21,17,117.0
3,2001,Texas Tech,Big 12,JR,QB,11,365,529,69.0,3502,6.6,6.8,25,9,136.8
4,*2002,Texas Tech,Big 12,SR,QB,14,479,712,67.3,5017,7.0,7.5,45,13,143.7
5,Career,Texas Tech,,,,,1231,1883,65.4,12429,6.6,6.7,95,40,133.2
0,Byron Leftwich,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*1998,Marshall,MAC,,QB,13,7,13,53.8,85,6.5,-0.4,0,2,78.0
2,1999,Marshall,MAC,,QB,12,7,11,63.6,60,5.5,5.5,0,0,109.5
3,2000,Marshall,MAC,SO,QB,12,279,457,61.1,3358,7.3,7.4,21,9,134.0
4,2001,Marshall,MAC,JR,QB,12,315,470,67.0,4132,8.8,9.7,38,7,164.6
5,*2002,Marshall,MAC,SR,QB,12,331,491,67.4,4268,8.7,9.0,30,10,156.5
6,Career,Marshall,,,,,939,1442,65.1,11903,8.3,8.6,89,28,150.9
0,Carson Palmer,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*1998,USC,Pac-10,,QB,13,130,235,55.3,1755,7.5,6.9,7,6,122.8
2,1999,USC,Pac-10,,QB,3,39,53,73.6,490,9.2,7.8,3,3,158.6
3,2000,USC,Pac-10,SO,QB,12,228,415,54.9,2914,7.0,5.8,16,18,118.0
4,*2001,USC,Pac-10,JR,QB,12,221,377,58.6,2717,7.2,6.5,13,12,124.2
5,*2002,USC,Pac-10,SR,QB,13,309,489,63.2,3942,8.1,8.5,33,10,149.1
6,Career,USC,,,,,927,1569,59.1,11818,7.5,7.0,72,49,131.2
0,Dave Ragone,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,1999,Louisville,CUSA,,QB,5,1,2,50.0,7,3.5,3.5,0,0,79.4
2,2000,Louisville,CUSA,SO,QB,11,216,354,61.0,2621,7.4,7.5,27,11,142.2
3,2001,Louisville,CUSA,JR,QB,12,231,383,60.3,3056,8.0,8.4,23,7,143.5
4,*2002,Louisville,CUSA,SR,QB,13,237,441,53.7,2880,6.5,6.5,24,11,121.6
5,Career,Louisville,,,,,685,1180,58.1,8564,7.3,7.4,74,29,134.8
0,Chris Simms,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*1999,Texas,Big 12,,QB,6,19,36,52.8,223,6.2,6.1,2,1,117.6
2,2000,Texas,Big 12,SO,QB,10,67,117,57.3,1064,9.1,7.8,8,7,144.3
3,2001,Texas,Big 12,JR,QB,12,214,362,59.1,2603,7.2,7.0,22,11,133.5
4,*2002,Texas,Big 12,SR,QB,13,235,396,59.3,3207,8.1,8.0,26,12,143.0
5,Career,Texas,,,,,535,911,58.7,7097,7.8,7.5,58,31,138.4
0,Seneca Wallace,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,2001,Iowa State,Big 12,JR,QB,11,167,269,62.1,2044,7.6,6.9,11,9,132.7
2,*2002,Iowa State,Big 12,SR,QB,14,244,443,55.1,3245,7.3,6.2,15,18,119.7
3,Career,Iowa State,,,,,411,712,57.7,5289,7.4,6.5,26,27,124.6
0,David Carr,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,1997,Fresno State,WAC,,QB,4,5,11,45.5,53,4.8,0.7,0,1,67.7
2,1998,Fresno State,WAC,,QB,7,22,41,53.7,228,5.6,5.0,1,1,103.5
3,2000,Fresno State,WAC,JR,QB,11,194,316,61.4,2338,7.4,7.0,18,11,135.4
4,*2001,Fresno State,WAC,SR,QB,14,344,533,64.5,4839,9.1,10.0,46,9,165.9
5,Career,Fresno State,,,,,565,901,62.7,7458,8.3,8.6,65,22,151.2
0,Ronald Curry,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,1998,North Carolina,ACC,,QB,11,66,147,44.9,975,6.6,5.3,6,7,104.6
2,1999,North Carolina,ACC,,QB,5,54,110,49.1,682,6.2,2.7,3,10,92.0
3,2000,North Carolina,ACC,JR,QB,11,163,304,53.6,2325,7.6,6.6,11,12,121.9
4,2001,North Carolina,ACC,SR,QB,10,62,134,46.3,1005,7.5,6.7,8,6,120.0
5,Career,North Carolina,,,,,345,695,49.6,4987,7.2,5.7,28,35,113.1
0,Rohan Davey,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,1998,LSU,SEC,,QB,2,,,,,,,,,
2,1999,LSU,SEC,,QB,7,31,52,59.6,491,9.4,7.5,4,4,148.9
3,2000,LSU,SEC,JR,QB,4,38,59,64.4,577,9.8,11.4,7,1,182.3
4,2001,LSU,SEC,SR,QB,12,217,367,59.1,3347,9.1,8.9,18,10,146.5
5,Career,LSU,,,,,286,478,59.8,4415,9.2,9.0,29,15,151.2
0,Randy Fasani,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,1998,Stanford,Pac-10,,QB,10,8,16,50.0,81,5.1,3.5,1,1,100.7
2,1999,Stanford,Pac-10,,QB,10,1,6,16.7,13,2.2,2.2,0,0,34.9
3,2000,Stanford,Pac-10,SR,QB,8,93,180,51.7,1400,7.8,7.5,11,6,130.5
4,2001,Stanford,Pac-10,SR,QB,8,86,167,51.5,1479,8.9,9.3,13,4,146.8
5,Career,Stanford,,,,,188,369,50.9,2973,8.1,8.1,25,11,135.0
0,David Garrard,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,1998,East Carolina,CUSA,,QB,11,157,255,61.6,2091,8.2,8.1,14,7,143.1
2,1999,East Carolina,CUSA,,QB,11,181,312,58.0,2359,7.6,6.7,14,12,128.6
3,2000,East Carolina,CUSA,JR,QB,11,164,312,52.6,2332,7.5,7.1,19,11,128.4
4,2001,East Carolina,CUSA,SR,QB,11,164,290,56.6,2247,7.7,7.2,13,9,130.2
5,Career,East Carolina,,,,,666,1169,57.0,9029,7.7,7.2,60,39,132.1
0,Joey Harrington,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*1998,Oregon,Pac-10,,QB,2,0,1,0.0,0,0.0,0.0,0,0,0.0
2,*1999,Oregon,Pac-10,,QB,8,84,158,53.2,1180,7.5,7.9,10,3,133.0
3,*2000,Oregon,Pac-10,JR,QB,12,214,405,52.8,2967,7.3,6.9,22,14,125.4
4,*2001,Oregon,Pac-10,SR,QB,12,214,364,58.8,2764,7.6,8.3,27,6,143.8
5,Career,Oregon,,,,,512,928,55.2,6911,7.4,7.6,59,23,133.8
0,Kurt Kittner,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,1998,Illinois,Big Ten,,QB,9,72,162,44.4,782,4.8,3.0,1,7,78.4
2,*1999,Illinois,Big Ten,,QB,12,216,396,54.5,2702,6.8,7.5,24,5,129.3
3,2000,Illinois,Big Ten,JR,QB,10,173,297,58.2,1982,6.7,6.7,18,8,128.9
4,2001,Illinois,Big Ten,SR,QB,11,207,374,55.3,2994,8.0,7.7,23,13,135.9
5,Career,Illinois,,,,,668,1229,54.4,8460,6.9,6.7,66,33,124.5
0,Josh McCown,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,1998,SMU,WAC,,QB,9,46,99,46.5,619,6.3,4.0,7,8,106.2
2,1999,SMU,WAC,,QB,10,125,234,53.4,1434,6.1,5.1,11,10,111.9
3,2000,SMU,WAC,JR,QB,11,169,331,51.1,1969,5.9,4.3,9,16,100.3
4,Career,SMU,,,,,340,664,51.2,4022,6.1,4.6,27,34,105.3
0,Patrick Ramsey,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*1998,Tulane,CUSA,,QB,3,3,5,60.0,27,5.4,9.4,1,0,171.4
2,1999,Tulane,CUSA,,QB,11,310,513,60.4,3410,6.6,5.5,25,24,123.0
3,2000,Tulane,CUSA,JR,QB,10,229,389,58.9,2833,7.3,6.9,24,14,133.2
4,2001,Tulane,CUSA,SR,QB,11,256,448,57.1,2935,6.6,6.2,22,13,122.6
5,Career,Tulane,,,,,798,1355,58.9,9205,6.8,6.2,72,51,126.0
0,Drew Brees,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*1997,Purdue,Big Ten,,QB,8,19,43,44.2,232,5.4,4.3,0,1,84.9
2,*1998,Purdue,Big Ten,,QB,13,361,569,63.4,3983,7.0,6.8,39,20,137.8
3,*1999,Purdue,Big Ten,,QB,12,337,554,60.8,3909,7.1,7.0,25,12,130.7
4,*2000,Purdue,Big Ten,SR,QB,12,309,512,60.4,3668,7.2,7.1,26,12,132.6
5,Career,Purdue,,,,,1026,1678,61.1,11792,7.0,6.9,90,45,132.5
0,Quincy Carter,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,1998,Georgia,SEC,,QB,11,176,290,60.7,2484,8.6,8.0,12,9,140.1
2,1999,Georgia,SEC,,QB,11,216,380,56.8,2713,7.1,7.3,17,6,128.4
3,2000,Georgia,SEC,JR,QB,7,91,183,49.7,1250,6.8,5.0,6,10,107.0
4,Career,Georgia,,,,,483,853,56.6,6447,7.6,7.1,35,25,127.8
0,Mike McMahon,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,1997,Rutgers,Big East,,QB,9,104,212,49.1,1259,5.9,4.0,6,12,97.0
2,1998,Rutgers,Big East,,QB,11,143,276,51.8,2203,8.0,6.2,12,16,121.6
3,1999,Rutgers,Big East,,QB,5,66,146,45.2,989,6.8,5.3,5,7,103.8
4,2000,Rutgers,Big East,SR,QB,10,169,340,49.7,2157,6.3,5.2,18,17,110.5
5,Career,Rutgers,,,,,482,974,49.5,6608,6.8,5.2,41,52,109.7
0,Jesse Palmer,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,1997,Florida,SEC,,QB,6,21,38,55.3,291,7.7,6.2,4,3,138.5
2,1998,Florida,SEC,,QB,6,73,123,59.3,1246,10.1,10.6,14,5,173.9
3,1999,Florida,SEC,,QB,5,44,95,46.3,565,5.9,4.0,2,5,92.7
4,2000,Florida,SEC,SR,QB,10,116,223,52.0,1653,7.4,7.6,11,4,127.0
5,Career,Florida,,,,,254,479,53.0,3755,7.8,7.5,31,17,133.1
0,Sage Rosenfels,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,1997,Iowa State,Big 12,,QB,4,4,10,40.0,37,3.7,-5.3,0,2,31.1
2,1998,Iowa State,Big 12,,QB,4,3,9,33.3,48,5.3,0.3,0,1,55.9
3,1999,Iowa State,Big 12,,QB,11,127,235,54.0,1781,7.6,6.3,10,11,122.4
4,2000,Iowa State,Big 12,SR,QB,11,172,333,51.7,2298,6.9,5.8,8,12,110.3
5,Career,Iowa State,,,,,306,587,52.1,4164,7.1,5.7,18,26,113.0
0,Marques Tuiasosopo,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,1997,Washington,Pac-10,,QB,9,37,64,57.8,650,10.2,10.4,3,1,155.5
2,1998,Washington,Pac-10,,QB,11,40,79,50.6,484,6.1,3.8,2,5,97.8
3,1999,Washington,Pac-10,,QB,11,171,295,58.0,2221,7.5,6.7,12,11,127.2
4,2000,Washington,Pac-10,SR,QB,11,170,323,52.6,2146,6.6,6.0,14,11,115.9
5,Career,Washington,,,,,418,761,54.9,5501,7.2,6.4,31,28,121.7
0,Michael Vick,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*1999,Virginia Tech,Big East,,QB,12,105,182,57.7,2065,11.3,11.5,13,5,171.1
2,2000,Virginia Tech,Big East,SO,QB,10,87,161,54.0,1234,7.7,7.0,8,6,127.4
3,Career,Virginia Tech,,,,,192,343,56.0,3299,9.6,9.4,21,11,150.6
0,Chris Weinke,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,1997,Florida State,ACC,,QB,3,7,13,53.8,82,6.3,5.9,2,1,142.2
2,1998,Florida State,ACC,,QB,10,145,286,50.7,2487,8.7,9.1,19,6,141.5
3,1999,Florida State,ACC,,QB,11,232,377,61.5,3103,8.2,7.9,25,14,145.1
4,2000,Florida State,ACC,SR,QB,12,266,431,61.7,4167,9.7,10.1,33,11,163.1
5,Career,Florida State,,,,,650,1107,58.7,9839,8.9,9.0,79,32,151.1
0,Tom Brady,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,1996,Michigan,Big Ten,,QB,2,3,5,60.0,26,5.2,-3.8,0,1,63.7
2,1997,Michigan,Big Ten,,QB,4,12,15,80.0,103,6.9,6.9,0,0,137.7
3,1998,Michigan,Big Ten,,QB,12,200,323,61.9,2427,7.5,7.0,14,10,133.1
4,1999,Michigan,Big Ten,,QB,11,180,295,61.0,2217,7.5,7.7,16,6,138.0
5,Career,Michigan,,,,,395,638,61.9,4773,7.5,7.2,30,17,134.9
0,Marc Bulger,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*1996,West Virginia,Big East,,QB,6,19,42,45.2,352,8.4,8.7,3,1,134.4
2,*1997,West Virginia,Big East,,QB,12,192,323,59.4,2465,7.6,7.1,14,10,131.7
3,*1998,West Virginia,Big East,,QB,12,274,419,65.4,3607,8.6,9.0,31,10,157.3
4,1999,West Virginia,Big East,,QB,8,145,239,60.7,1729,7.2,5.7,11,13,125.7
5,Career,West Virginia,,,,,630,1023,61.6,8153,8.0,7.6,59,34,140.9
0,Joe Hamilton,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,1996,Georgia Tech,ACC,,QB,10,108,188,57.4,1342,7.1,4.8,7,13,115.9
2,1997,Georgia Tech,ACC,,QB,11,173,268,64.6,2314,8.6,8.4,12,7,146.6
3,1998,Georgia Tech,ACC,,QB,11,145,259,56.0,2166,8.4,8.3,17,8,141.7
4,1999,Georgia Tech,ACC,,QB,11,203,305,66.6,3060,10.0,10.3,29,11,175.0
5,Career,Georgia Tech,,,,,629,1020,61.7,8882,8.7,8.3,65,39,148.2
0,Todd Husak,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,1996,Stanford,Pac-10,,QB,4,19,39,48.7,202,5.2,3.4,1,2,90.4
2,1997,Stanford,Pac-10,,QB,11,37,78,47.4,582,7.5,6.4,5,4,121.0
3,1998,Stanford,Pac-10,,QB,11,233,447,52.1,3092,6.9,7.0,17,7,119.6
4,1999,Stanford,Pac-10,,QB,10,176,308,57.1,2688,8.7,8.3,18,11,142.6
5,Career,Stanford,,,,,465,872,53.3,6564,7.5,7.2,41,24,126.6
0,Jarious Jackson,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,1996,Notre Dame,Ind,,QB,6,10,15,66.7,181,12.1,16.1,3,0,234.0
2,1997,Notre Dame,Ind,,QB,7,8,17,47.1,146,8.6,7.1,1,1,126.8
3,*1998,Notre Dame,Ind,,QB,11,104,188,55.3,1740,9.3,9.2,13,6,149.5
4,1999,Notre Dame,Ind,,QB,12,184,316,58.2,2753,8.7,7.8,17,14,140.3
5,Career,Notre Dame,,,,,306,536,57.1,4820,9.0,8.5,34,21,145.7
0,Tee Martin,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,1996,Tennessee,SEC,,QB,11,2,4,50.0,24,6.0,6.0,0,0,100.4
2,1997,Tennessee,SEC,,QB,4,6,12,50.0,87,7.3,5.2,1,1,121.7
3,1998,Tennessee,SEC,,QB,12,153,267,57.3,2164,8.1,8.5,19,6,144.4
4,1999,Tennessee,SEC,,QB,11,165,305,54.1,2317,7.6,7.1,12,9,125.0
5,Career,Tennessee,,,,,326,588,55.4,4592,7.8,7.7,32,16,133.6
0,Chad Pennington,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*1997,Marshall,MAC,,QB,13,276,473,58.4,3817,8.1,8.7,42,12,150.4
2,*1998,Marshall,MAC,,QB,13,297,456,65.1,3830,8.4,8.9,28,7,152.9
3,1999,Marshall,MAC,,QB,12,275,405,67.9,3799,9.4,10.0,37,11,171.4
4,Career,Marshall,,,,,848,1334,63.6,11446,8.6,9.2,107,30,157.6
0,Tim Rattay,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,1997,Louisiana Tech,Ind,,QB,11,293,477,61.4,3881,8.1,8.6,34,10,149.1
2,1998,Louisiana Tech,Ind,,QB,12,380,559,68.0,4943,8.8,9.4,46,13,164.8
3,1999,Louisiana Tech,Ind,,QB,10,342,516,66.3,3922,7.6,7.9,35,12,147.9
4,Career,Louisiana Tech,,,,,1015,1552,65.4,12746,8.2,8.7,115,35,154.3
0,Chris Redman,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,1996,Louisville,CUSA,,QB,11,144,272,52.9,1773,6.5,5.6,8,9,110.8
2,1997,Louisville,CUSA,,QB,11,261,445,58.7,3079,6.9,6.3,18,14,123.8
3,1998,Louisville,CUSA,,QB,10,309,473,65.3,4042,8.5,8.3,29,15,151.0
4,1999,Louisville,CUSA,,QB,11,317,489,64.8,3647,7.5,7.4,29,13,141.7
5,Career,Louisville,,,,,1031,1679,61.4,12541,7.5,7.1,84,51,134.6
0,Spergon Wynn,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,1996,Minnesota,Big Ten,,QB,2,0,1,0.0,0,0.0,-45.0,0,1,-200.0
2,Career,Minnesota,,,,,0,1,0.0,0,0.0,-45.0,0,1,-200.0
